Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Time Stamp
RE,0.3975312,0.9970998,-0.2465779,0.1398705,0.9042756,0.01876511,0.4029514,0.734333
RE,0.3975312,0.9970998,-0.2465779,0.1398705,0.9042756,0.01876511,0.4029514,0.734333
RE,0.3979918,0.996488,-0.2463555,0.1406931,0.9041859,0.01908869,0.4028511,0.7452551
RE,0.3979918,0.996488,-0.2463555,0.1406931,0.9041859,0.01908869,0.4028511,0.7452551
RE,0.3987497,0.9957572,-0.2463085,0.1414353,0.9037057,0.01933688,0.403656,0.7616839
RE,0.3987497,0.9957572,-0.2463085,0.1414353,0.9037057,0.01933688,0.403656,0.7616839
RE,0.399474,0.9949758,-0.2460362,0.1421826,0.903241,0.01966962,0.4044168,0.7669827
RE,0.399474,0.9949758,-0.2460362,0.1421826,0.903241,0.01966962,0.4044168,0.7669827
RE,0.4003111,0.9939303,-0.245488,0.1430921,0.9026914,0.01982732,0.4053144,0.7780669
RE,0.4003111,0.9939303,-0.245488,0.1430921,0.9026914,0.01982732,0.4053144,0.7780669
RE,0.4009937,0.9931002,-0.2444175,0.1440193,0.9022536,0.01991431,0.405956,0.7892017
RE,0.4009937,0.9931002,-0.2444175,0.1440193,0.9022536,0.01991431,0.405956,0.7892017
RE,0.4018967,0.9923375,-0.2435107,0.1451022,0.901777,0.01969763,0.4066393,0.8003035
RE,0.4018967,0.9923375,-0.2435107,0.1451022,0.901777,0.01969763,0.4066393,0.8003035
RE,0.4027822,0.9916011,-0.2422897,0.1462742,0.9013138,0.02024491,0.4072191,0.8114033
RE,0.4027822,0.9916011,-0.2422897,0.1462742,0.9013138,0.02024491,0.4072191,0.8114033
RE,0.4037341,0.9908768,-0.2412533,0.1474245,0.9008368,0.02054665,0.4078444,0.8224885
RE,0.4037341,0.9908768,-0.2412533,0.1474245,0.9008368,0.02054665,0.4078444,0.8224885
RE,0.4048909,0.9902519,-0.2397626,0.1483565,0.9003636,0.02094671,0.4085302,0.8336022
RE,0.4048909,0.9902519,-0.2397626,0.1483565,0.9003636,0.02094671,0.4085302,0.8336022
RE,0.4059001,0.9897379,-0.2381769,0.1489586,0.8999123,0.02144342,0.4092792,0.8447208
RE,0.4059001,0.9897379,-0.2381769,0.1489586,0.8999123,0.02144342,0.4092792,0.8447208
RE,0.4073807,0.9896809,-0.2370085,0.149684,0.8991595,0.02176073,0.4106499,0.8558298
RE,0.4073807,0.9896809,-0.2370085,0.149684,0.8991595,0.02176073,0.4106499,0.8558298
RE,0.4082614,0.9895812,-0.235373,0.1503223,0.8984882,0.02299236,0.4118174,0.8669211
RE,0.4082614,0.9895812,-0.235373,0.1503223,0.8984882,0.02299236,0.4118174,0.8669211
RE,0.4093591,0.9895028,-0.233631,0.1513626,0.8975915,0.02496778,0.4132741,0.878095
RE,0.4093591,0.9895028,-0.233631,0.1513626,0.8975915,0.02496778,0.4132741,0.878095
RE,0.4105424,0.9889034,-0.2317068,0.1526248,0.8968389,0.02647266,0.4143488,0.8891417
RE,0.4105424,0.9889034,-0.2317068,0.1526248,0.8968389,0.02647266,0.4143488,0.8891417
RE,0.4114066,0.98871,-0.2300816,0.1543309,0.8960812,0.02846229,0.4152234,0.9002243
RE,0.4114066,0.98871,-0.2300816,0.1543309,0.8960812,0.02846229,0.4152234,0.9002243
RE,0.4125013,0.9883608,-0.2281676,0.1564103,0.8954651,0.03003327,0.4156634,0.911324
RE,0.4125013,0.9883608,-0.2281676,0.1564103,0.8954651,0.03003327,0.4156634,0.911324
RE,0.4131765,0.9881217,-0.2267621,0.1583306,0.8948674,0.0313495,0.4161262,0.9224493
RE,0.4131765,0.9881217,-0.2267621,0.1583306,0.8948674,0.0313495,0.4161262,0.9224493
RE,0.4138911,0.987959,-0.2251837,0.1604297,0.8947195,0.03212236,0.415581,0.933715
RE,0.4138911,0.987959,-0.2251837,0.1604297,0.8947195,0.03212236,0.415581,0.933715
RE,0.4141719,0.9880944,-0.2240873,0.1619259,0.894839,0.03288203,0.4146829,0.9446846
RE,0.4141719,0.9880944,-0.2240873,0.1619259,0.894839,0.03288203,0.4146829,0.9446846
RE,0.4143146,0.9883008,-0.2228687,0.1638434,0.8947093,0.03393335,0.4141246,0.9557891
RE,0.4143146,0.9883008,-0.2228687,0.1638434,0.8947093,0.03393335,0.4141246,0.9557891
RE,0.4145348,0.9885644,-0.2219616,0.1657297,0.8944592,0.03544015,0.413788,0.9668676
RE,0.4145348,0.9885644,-0.2219616,0.1657297,0.8944592,0.03544015,0.413788,0.9668676
RE,0.4144965,0.9890499,-0.221299,0.1674524,0.8944077,0.03674742,0.4130911,0.9780015
RE,0.4144965,0.9890499,-0.221299,0.1674524,0.8944077,0.03674742,0.4130911,0.9780015
RE,0.4142065,0.9893191,-0.2206367,0.1691971,0.894392,0.03773158,0.4123249,0.9890931
RE,0.4142065,0.9893191,-0.2206367,0.1691971,0.894392,0.03773158,0.4123249,0.9890931
RE,0.4138829,0.9896977,-0.2202705,0.1708067,0.8942945,0.03872343,0.4117802,1.000166
RE,0.4138829,0.9896977,-0.2202705,0.1708067,0.8942945,0.03872343,0.4117802,1.000166
RE,0.413378,0.9902486,-0.220145,0.1726339,0.8942695,0.03880511,0.4110641,1.011363
RE,0.413378,0.9902486,-0.220145,0.1726339,0.8942695,0.03880511,0.4110641,1.011363
RE,0.4126201,0.9906999,-0.2204319,0.1745931,0.8942608,0.03905964,0.4102308,1.022369
RE,0.4126201,0.9906999,-0.2204319,0.1745931,0.8942608,0.03905964,0.4102308,1.022369
RE,0.4118717,0.991372,-0.220504,0.1763868,0.8944101,0.03935116,0.4091085,1.033703
RE,0.4118717,0.991372,-0.220504,0.1763868,0.8944101,0.03935116,0.4091085,1.033703
RE,0.4108306,0.9918365,-0.2208963,0.1778765,0.8948179,0.03989422,0.407516,1.044606
RE,0.4108306,0.9918365,-0.2208963,0.1778765,0.8948179,0.03989422,0.407516,1.044606
RE,0.4100369,0.9923493,-0.2215322,0.1792359,0.894994,0.04040565,0.4064822,1.055712
RE,0.4100369,0.9923493,-0.2215322,0.1792359,0.894994,0.04040565,0.4064822,1.055712
RE,0.4091948,0.9928657,-0.222166,0.1802385,0.8949426,0.04071425,0.4061209,1.067174
RE,0.4091948,0.9928657,-0.222166,0.1802385,0.8949426,0.04071425,0.4061209,1.067174
RE,0.4082714,0.9929171,-0.2230765,0.1810589,0.894841,0.0405898,0.4059924,1.079243
RE,0.4082714,0.9929171,-0.2230765,0.1810589,0.894841,0.0405898,0.4059924,1.079243
RE,0.4073327,0.9927673,-0.2238267,0.1820717,0.8948758,0.03996251,0.4055246,1.09074
RE,0.4073327,0.9927673,-0.2238267,0.1820717,0.8948758,0.03996251,0.4055246,1.09074
RE,0.4064306,0.9927645,-0.2247846,0.1830228,0.8947978,0.03998078,0.4052668,1.101861
RE,0.4064306,0.9927645,-0.2247846,0.1830228,0.8947978,0.03998078,0.4052668,1.101861
RE,0.4054632,0.992564,-0.2259825,0.1835609,0.894646,0.0396223,0.4053937,1.112986
RE,0.4054632,0.992564,-0.2259825,0.1835609,0.894646,0.0396223,0.4053937,1.112986
RE,0.4043797,0.9922127,-0.2273037,0.1839485,0.8945612,0.03882316,0.4054826,1.124279
RE,0.4043797,0.9922127,-0.2273037,0.1839485,0.8945612,0.03882316,0.4054826,1.124279
RE,0.4031863,0.9919325,-0.2286928,0.1842864,0.8947437,0.03787427,0.4050159,1.135588
RE,0.4031863,0.9919325,-0.2286928,0.1842864,0.8947437,0.03787427,0.4050159,1.135588
RE,0.4020383,0.9914433,-0.2302406,0.1844065,0.8950023,0.03666908,0.4045004,1.146906
RE,0.4020383,0.9914433,-0.2302406,0.1844065,0.8950023,0.03666908,0.4045004,1.146906
RE,0.4009448,0.990992,-0.2317153,0.1845693,0.8952138,0.03575619,0.4040394,1.15819
RE,0.4009448,0.990992,-0.2317153,0.1845693,0.8952138,0.03575619,0.4040394,1.15819
RE,0.399815,0.9904131,-0.2331797,0.1843996,0.895524,0.03483007,0.4035102,1.16946
RE,0.399815,0.9904131,-0.2331797,0.1843996,0.895524,0.03483007,0.4035102,1.16946
RE,0.398641,0.9898301,-0.2347968,0.1839146,0.8957235,0.0339882,0.4033606,1.180753
RE,0.398641,0.9898301,-0.2347968,0.1839146,0.8957235,0.0339882,0.4033606,1.180753
RE,0.3974935,0.9892327,-0.2363458,0.1835403,0.8958499,0.03302041,0.4033305,1.192123
RE,0.3974935,0.9892327,-0.2363458,0.1835403,0.8958499,0.03302041,0.4033305,1.192123
RE,0.3962892,0.9884627,-0.2379165,0.1831049,0.8960414,0.03196844,0.4031879,1.203386
RE,0.3962892,0.9884627,-0.2379165,0.1831049,0.8960414,0.03196844,0.4031879,1.203386
RE,0.394927,0.9879274,-0.2396616,0.1823658,0.896364,0.03095608,0.4028846,1.214685
RE,0.394927,0.9879274,-0.2396616,0.1823658,0.896364,0.03095608,0.4028846,1.214685
RE,0.3936511,0.987447,-0.2413099,0.1818255,0.8967038,0.03026901,0.4024245,1.225977
RE,0.3936511,0.987447,-0.2413099,0.1818255,0.8967038,0.03026901,0.4024245,1.225977
RE,0.3923047,0.9870452,-0.2430379,0.1814964,0.8970638,0.02986136,0.4018009,1.237402
RE,0.3923047,0.9870452,-0.2430379,0.1814964,0.8970638,0.02986136,0.4018009,1.237402
RE,0.3909885,0.9865552,-0.2447246,0.1812053,0.8972133,0.02951402,0.4016241,1.24852
RE,0.3909885,0.9865552,-0.2447246,0.1812053,0.8972133,0.02951402,0.4016241,1.24852
RE,0.3897766,0.9862467,-0.246337,0.18081,0.8969746,0.02906376,0.4023676,1.259983
RE,0.3897766,0.9862467,-0.246337,0.18081,0.8969746,0.02906376,0.4023676,1.259983
RE,0.3885486,0.9857954,-0.247997,0.1803493,0.8965978,0.02877366,0.4034335,1.271312
